"","Progres Keseluruhan","","Total Tugas","","","","","","","","","","","","","","","","","","","","","",""
"","52%","","37","","","","","","","","","","","","","","","","","","","","","",""
"","Kategori","Tugas","PIC","","","Status","","","","","","","","","","","","","","","","","","",""
"1","A. Dealing Vendor","DP Venue Svarnabumi","Bride & Groom","10/08/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
"2","A. Dealing Vendor","DP Documentation (FG,VG)","Bride & Groom","04/10/2026","50%","Working on It","","","","","","","","","","","","","","","","","","",""
"3","A. Dealing Vendor","WCC","Bride & Groom","30/08/2026","50%","Working on It","","","","","","","","","","","","","","","","","","",""
"4","A. Dealing Vendor","Mencari Vendor Decoration","Bride & Groom","15/08/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
"5","A. Dealing Vendor","Souvenir","Bride & Groom","16/08/2026","50%","Working on It","","","","","","","","","","","","","","","","","","",""
"6","A. Dealing Vendor","Mencari Vendor Handbouqet","Bride & Groom","30/08/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
"7","A. Dealing Vendor","DP & Kontak MUA + Hairdo","Bride","20/08/2026","50%","Working on It","","","","","","","","","","","","","","","","","","",""
"8","A. Dealing Vendor","Lock & DP Bridal","Wedding Organizer & Planner","12/09/2026","50%","Working on It","","","","","","","","","","","","","","","","","","",""
"9","A. Dealing Vendor","Entertaintment","Wedding Organizer & Planner","12/09/2026","0%","Not yet Started","","","","","","","","","","","","","","","","","","",""
"10","A. Dealing Vendor","Soundsystem","Wedding Organizer & Planner","12/09/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
"11","A. Dealing Vendor","Order Hotel Room","Wedding Organizer & Planner","","","","","","","","","","","","","","","","","","","","","",""
"","Kategori","Tugas","PIC","","","Status","","","","","","","","","","","","","","","","","","",""
"1","B. Documentation","Pas Foto","Bride & Groom","22/08/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
"2","B. Documentation","Submit Dokumen Gereja","Bride & Groom","29/08/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
"3","B. Documentation","Catatan Sipil","Bride & Groom","26/09/2026","0%","Not yet Started","","","","","","","","","","","","","","","","","","",""
"","B. Documentation","","","","","","","","","","","","","","","","","","","","","","","",""
"","B. Documentation","","","","","","","","","","","","","","","","","","","","","","","",""
"","B. Documentation","","","","","","","","","","","","","","","","","","","","","","","",""
"","B. Documentation","","","","","","","","","","","","","","","","","","","","","","","",""
"","Kategori","Tugas","PIC","","","Status","","","","","","","","","","","","","","","","","","",""
"1","C. Internal Preparation","Bimbingan Pra Nikah","Bride & Groom","05/09/2026","50%","Working on It","","","","","","","","","","","","","","","","","","",""
"2","C. Internal Preparation","Pre-Wedding Photoshoot","Bride & Groom","22/08/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
"3","C. Internal Preparation","Fitting Satin Bridal","Bride & Groom","23/08/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
"4","C. Internal Preparation","Wedding Ring ","Bride & Groom","16/08/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
"5","C. Internal Preparation","Pasphoto couple","Bride & Groom","22/08/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
"6","C. Internal Preparation","Request Pastor directly","Bride & Groom","16/08/2026","100%","Done","","","","","","","","","","","","","","","","","","",""
